Pot,Salt,Inoculated,FruitNumber,BER,FruitWeight
A1,N,N,1,N,135.6
A1,N,N,2,N,72.35
A1,N,N,3,N,111.5
A1,N,N,4,N,135.6
A1,N,N,5,N,141.2
A1,N,N,6,N,171.3
A1,N,N,7,N,68.1
A1,N,N,8,N,75.1
A1,N,N,9,N,105.2
A1,N,N,10,N,106.7
A1,N,N,11,N,191.5
A1,N,N,12,N,71
A1,N,N,13,N,119.6
A1,N,N,14,N,97.2
A1,N,N,15,N,176
A1,N,N,16,N,7.2
A1,N,N,17,N,12
A1,N,N,18,N,6.3
A1,N,N,19,N,22.9
A1,N,N,20,N,5.1
A1,N,N,21,N,9.3
A1,N,N,22,N,119.5
A1,N,N,23,N,61.4
A1,N,N,24,N,88.7
A1,N,N,25,N,109.4
A1,N,N,26,Y,122.9
A1,N,N,27,N,131
A1,N,N,28,N,36.2
A1,N,N,29,N,9.2
A1,N,N,30,N,139.9
A1,N,N,31,N,213.7
A1,N,N,32,N,87.5
A1,N,N,33,N,154
A1,N,N,34,N,153
A1,N,N,35,N,42.7
A1,N,N,36,N,75.32
A1,N,N,37,Y,139.6
A1,N,N,38,N,37
A1,N,N,39,N,155.4
A1,N,N,40,N,142.2
A1,N,N,41,N,123.3
A1,N,N,42,N,145.8
A1,N,N,43,N,121.9
A1,N,N,44,N,42
A1,N,N,45,N,107.9
A1,N,N,46,N,22.3
A1,N,N,47,N,77.4
A1,N,N,48,N,59
A1,N,N,49,N,36.4
A2,Y,N,1,Y,56.2
A2,Y,N,2,Y,45.98
A2,Y,N,3,N,53.8
A2,Y,N,4,N,35.2
A2,Y,N,5,N,32.2
A2,Y,N,6,N,42.34
A2,Y,N,7,N,38.74
A2,Y,N,8,Y,49.98
A2,Y,N,9,Y,58.1
A2,Y,N,10,N,77.16
A2,Y,N,11,Y,55.4
A2,Y,N,12,Y,34.59
A2,Y,N,13,Y,32
A2,Y,N,14,Y,59.61
A2,Y,N,15,Y,64.4
A2,Y,N,16,N,48.73
A2,Y,N,17,Y,21.4
A2,Y,N,18,Y,35.73
A2,Y,N,19,N,21.89
A2,Y,N,20,N,52.02
A2,Y,N,21,Y,46.81
A2,Y,N,22,N,39.77
A2,Y,N,23,N,24.46
A2,Y,N,24,N,2.4
A2,Y,N,25,N,0.3
A2,Y,N,26,N,0.3
A2,Y,N,27,N,0.22
A2,Y,N,28,N,58.9
A2,Y,N,29,N,27.3
A2,Y,N,30,N,19.3
A2,Y,N,31,N,0.51
A2,Y,N,32,N,112.84
A2,Y,N,33,N,88.3
A5,N,N,1,N,136.8
A5,N,N,,N,62.71
A5,N,N,,N,37.1
A5,N,N,,N,34.18
A5,N,N,,N,56.4
A5,N,N,,N,109.03
A5,N,N,,N,51.8
A5,N,N,,N,116.28
A5,N,N,,N,23.7
A5,N,N,,N,15.36
A5,N,N,,N,112.7
A5,N,N,,N,12.44
A5,N,N,,N,158.1
A5,N,N,,N,80.15
A5,N,N,,N,53.4
A5,N,N,,N,124.3
A5,N,N,,N,164.71
A5,N,N,,N,94.5
A5,N,N,,N,114.93
A5,N,N,,N,218.72
A5,N,N,,N,134.79
A5,N,N,,N,126.43
A5,N,N,,N,205.61
A5,N,N,,N,68.1
A5,N,N,,Y,52.35
A5,N,N,,N,107.2
A5,N,N,,N,140.4
A5,N,N,,N,3.87
A5,N,N,,N,17
A5,N,N,,N,49.4
A5,N,N,,N,79.62
A5,N,N,,N,75.2
A5,N,N,,N,70.51
A5,N,N,,N,95.8
A5,N,N,,N,138.62
A5,N,N,,N,77.71
A5,N,N,,N,118.6
A5,N,N,,N,12.48
A5,N,N,,N,9.34
A5,N,N,,N,17.64
A5,N,N,,N,52.25
A5,N,N,,N,105.57
A5,N,N,,N,7.31
A5,N,N,,N,4.6
A5,N,N,45,Y,65.1
A6,Y,N,,Y,49.52
A6,Y,N,,Y,61.65
A6,Y,N,,Y,63.05
A6,Y,N,,Y,52.96
A6,Y,N,,Y,52.1
A6,Y,N,,N,32.13
A6,Y,N,,N,32.4
A6,Y,N,,N,81.73
A6,Y,N,,Y,44.6
A6,Y,N,,N,35.47
A6,Y,N,,Y,48.1
A6,Y,N,,N,23.28
A6,Y,N,,Y,65.7
A6,Y,N,,N,37.11
A6,Y,N,,N,36.6
A6,Y,N,,Y,60.77
A6,Y,N,,N,70.45
A6,Y,N,,Y,61.2
A6,Y,N,,N,47.06
A6,Y,N,,N,39.01
A6,Y,N,,Y,53.1
A6,Y,N,,Y,56.5
A6,Y,N,,N,53.1
A6,Y,N,,N,55.98
A6,Y,N,,N,26.5
A6,Y,N,,N,46.9
A6,Y,N,,Y,50.4
A6,Y,N,,Y,44.07
A6,Y,N,,N,24
A6,Y,N,,Y,132.14
A6,Y,N,31,Y,49.09
B1,Y,N,,N,39.41
B1,Y,N,,N,24.65
B1,Y,N,,N,48.5
B1,Y,N,,N,103.18
B1,Y,N,,Y,54.4
B1,Y,N,,N,4.46
B1,Y,N,,N,5.69
B1,Y,N,,Y,50.1
B1,Y,N,,N,28.64
B1,Y,N,,Y,46.4
B1,Y,N,,N,33.5
B1,Y,N,,Y,70.45
B1,Y,N,,Y,43.4
B1,Y,N,,Y,50.34
B1,Y,N,,Y,51.3
B1,Y,N,,Y,50.92
B1,Y,N,,Y,49.1
B1,Y,N,,Y,54.86
B1,Y,N,,N,56.4
B1,Y,N,,N,10.3
B1,Y,N,21,N,195.64
B2,N,N,,N,218.1
B2,N,N,,N,95.03
B2,N,N,,N,154.4
B2,N,N,,N,138.72
B2,N,N,,N,171.1
B2,N,N,,N,123.44
B2,N,N,,N,213.6
B2,N,N,,N,85.84
B2,N,N,,N,173.2
B2,N,N,,N,250.02
B2,N,N,,N,189.5
B2,N,N,,N,182.43
B2,N,N,,N,158.62
B2,N,N,,N,91.52
B2,N,N,,N,12.3
B2,N,N,,N,133.57
B2,N,N,,N,134.9
B2,N,N,,N,102.55
B2,N,N,,N,124.7
B2,N,N,,N,20.71
B2,N,N,,Y,102.1
B2,N,N,,N,163.46
B2,N,N,,N,178.4
B2,N,N,,N,7.3
B2,N,N,,N,21.1
B2,N,N,,N,0.6
B2,N,N,27,N,3.3
B3,Y,N,,Y,54.2
B3,Y,N,,N,54.88
B3,Y,N,,N,9.3
B3,Y,N,,Y,64.11
B3,Y,N,,Y,61.8
B3,Y,N,,N,45.89
B3,Y,N,,Y,117.64
B3,Y,N,,N,5.1
B3,Y,N,,N,39.1
B3,Y,N,,Y,57.98
B3,Y,N,,N,1.4
B3,Y,N,,Y,53.35
B3,Y,N,,Y,67.42
