row,pot,mass,ber,eaten,mold,unsure,date,sug_1,sug_2
D,2,289.20,N,N,N,N,28-Oct,4.9,5.2
D,6,276.60,N,N,N,N,28-Oct,5.5,5.2
D,4,247.50,N,N,Y,N,14-Nov,5.4,5.6
D,6,246.30,N,N,N,Y,14-Nov,4.9,5.5
D,4,243.60,N,N,N,N,3-Nov,5.8,5.8
D,4,238.70,N,N,N,N,10-Nov,5.3,5.1
D,2,231.80,N,N,N,N,8-Nov,4.9,4.3
D,2,231.00,N,N,N,N,8-Nov,4.8,4.7
D,8,229.30,N,N,N,N,28-Oct,6.7,5.7
D,8,227.20,N,N,N,N,24-Oct,5.5,6
D,4,225.70,N,N,N,N,3-Nov,6.6,6.2
D,4,225.20,N,N,N,N,1-Nov,5.4,6
D,4,219.40,N,N,N,N,14-Nov,5.3,6.4
D,2,214.30,N,N,N,N,8-Nov,4.7,4.3
D,4,214.00,N,N,N,N,7-Nov,5.7,5.8
D,8,211.70,N,N,N,N,14-Nov,6.9,7.6
D,6,211.60,N,N,Y,N,11-Nov,6.4,6.2
D,6,211.20,N,N,N,N,10-Nov,4.3,3.8
D,6,210.90,N,N,N,N,14-Nov,4.8,4
D,1,209.30,N,N,N,N,4-Nov,6.1,6.1
D,2,207.60,N,N,N,N,4-Nov,5.5,5.1
D,8,206.70,N,N,N,N,24-Oct,6.1,6
D,8,204.50,N,N,N,N,3-Nov,6.9,6.8
D,8,203.00,N,N,N,N,14-Nov,5.3,4.2
D,2,202.40,N,N,N,N,26-Nov,5.3,5.7
D,8,198.80,N,N,N,N,1-Nov,6.9,7.3
D,6,197.00,N,N,N,N,2-Dec,6.2,6.3
D,4,196.40,N,N,N,N,18-Nov,7.2,7.4
D,8,195.60,N,N,N,N,1-Nov,6.7,6.4
D,4,195.00,N,N,N,N,4-Nov,6,5.7
D,4,194.60,N,N,N,N,4-Nov,7.1,6.3
D,8,190.90,N,N,N,N,1-Nov,5.7,6.5
D,6,186.20,N,N,N,N,15-Dec,,
D,6,186.00,N,N,N,N,14-Nov,3.5,3.4
D,6,184.50,N,N,N,N,29-Nov,6.1,6.2
D,2,182.30,N,N,N,N,10-Nov,3.9,3.9
D,6,182.20,N,N,N,N,8-Nov,5.4,5
D,7,179.40,N,N,N,N,7-Nov,6,6.3
D,2,172.70,N,N,N,N,10-Nov,3.9,4.2
D,8,172.20,N,N,N,N,3-Nov,5.8,5.5
D,2,171.40,N,N,N,N,11-Nov,5.2,4.7
D,2,170.20,N,N,N,N,14-Nov,5.2,5.7
D,2,169.30,N,N,N,N,10-Nov,3.8,3.6
D,6,168.20,N,N,N,N,10-Dec,,
D,6,166.60,N,N,N,N,25-Dec,,
D,6,166.10,N,N,N,N,14-Nov,3.6,3.2
D,4,165.50,N,N,N,N,1-Nov,5.5,5.3
D,8,165.40,N,N,N,N,11-Nov,6.7,6.6
D,8,163.40,N,N,N,N,14-Nov,5.3,5.3
D,6,162.30,N,N,Y,N,5-Dec,,
D,3,161.60,Y,N,N,N,20-Oct,,
D,1,159.10,N,N,N,N,29-Nov,6.7,6.3
D,6,158.80,N,N,Y,N,8-Nov,5.1,3.8
D,2,158.50,N,N,N,N,30-Nov,5.3,5.1
D,6,156.90,N,N,N,N,14-Nov,4.3,4.2
D,4,155.00,N,N,N,N,7-Nov,5.9,6.1
D,8,153.00,N,N,N,N,2-Dec,7.2,7.1
D,2,152.40,N,N,N,N,26-Nov,5.3,5.6
D,8,149.60,N,N,N,N,11-Nov,7.5,6.7
D,2,149.50,N,N,N,N,4-Nov,5,5.1
D,2,148.80,N,N,N,N,15-Dec,,
D,8,148.30,N,N,N,N,15-Dec,,
D,4,147.30,N,N,Y,N,2-Dec,7.5,7.2
D,5,146.70,Y,N,N,N,15-Dec,,
D,3,145.90,N,N,Y,N,18-Nov,6.2,6.2
D,2,144.60,N,N,N,N,28-Dec,,
D,4,143.80,N,N,N,N,14-Nov,4.8,5.1
D,8,143.40,N,N,N,N,8-Nov,6.1,5
D,8,140.80,N,N,N,N,1-Nov,6.8,6.6
D,1,140.30,N,N,N,N,3-Nov,8.5,8
D,8,140.20,N,N,N,N,7-Nov,7.1,6.9
D,7,139.40,N,N,N,N,14-Nov,5.7,5.9
D,4,139.10,N,N,N,N,29-Nov,7.5,7.5
D,2,137.60,N,N,N,N,25-Dec,,
D,5,137.50,N,N,N,N,3-Nov,7.8,7.6
D,2,136.90,N,N,N,N,14-Nov,5.6,5.1
D,2,136.30,N,N,N,N,11-Nov,6,6.3
D,6,135.70,N,N,N,N,14-Nov,6.2,6.5
D,4,135.10,Y,N,N,N,2-Dec,,
D,2,134.30,N,N,N,N,15-Dec,,
D,6,133.80,N,N,N,N,10-Dec,,
D,7,133.30,N,N,Y,N,10-Dec,,
D,2,133.10,N,N,N,N,30-Nov,5.8,5.6
D,7,132.80,N,N,N,N,3-Nov,6.2,6.8
D,8,132.40,N,N,N,N,3-Nov,6.3,6.3
D,2,131.30,N,N,N,N,26-Nov,6.2,5.8
D,2,131.10,N,N,N,N,7-Nov,5.1,5.1
D,6,130.10,N,N,Y,N,25-Dec,,
D,4,127.80,N,N,N,N,15-Dec,,
D,6,127.40,N,N,N,N,25-Dec,,
D,6,127.30,N,N,N,N,26-Nov,6.9,6.2
D,2,126.60,N,N,Y,N,10-Dec,,
D,8,126.20,N,N,N,N,3-Nov,6.5,6.4
D,7,126.20,N,N,N,N,8-Nov,6.3,5.8
D,8,125.20,N,N,N,N,14-Nov,7.7,7.5
