Row,Pot,Cluster,Weight,BER,Date
A,1,2,80.3,1,7/18/2023
A,1,2,116.9,1,7/18/2023
B,1,2,58.7,1,7/18/2023
B,1,2,29.4,1,7/18/2023
B,1,1,96.2,1,7/18/2023
B,1,1,91.7,1,7/18/2023
B,1,1,79.9,1,7/18/2023
B,3,3,81.2,1,7/18/2023
B,3,1,88.4,1,7/18/2023
B,3,1,69,1,7/18/2023
B,4,2,102.3,1,7/18/2023
B,3,3,114.4,1,7/18/2023
B,3,3,73.8,1,7/18/2023
A,3,1,205.7,1,7/18/2023
A,5,1,122.9,1,7/18/2023
B,5,1,171.5,1,7/18/2023
B,5,2,116.9,1,7/18/2023
A,4,1,38.3,1,7/18/2023
A,4,3,41.3,1,7/18/2023
A,6,1,174.6,1,7/18/2023
B,5,2,131.2,1,7/18/2023
B,6,3,83.4,1,7/18/2023
B,7,2,105.6,1,7/18/2023
B,7,2,115.5,1,7/18/2023
B,7,1,127.2,1,7/18/2023
B,7,3,109.7,1,7/18/2023
A,7,1,115.9,1,7/18/2023
A,7,3,75.4,1,7/18/2023
A,7,3,61.8,1,7/18/2023
A,8,2,56.5,1,7/18/2023
B,8,3,105,1,7/18/2023
C,1,1,81.9,1,7/18/2023
C,1,3,68.8,1,7/18/2023
C,1,2,66.6,1,7/18/2023
C,1,4,82.7,1,7/18/2023
C,1,4,117.6,1,7/18/2023
C,3,3,112,1,7/18/2023
C,3,3,99.3,1,7/18/2023
D,3,1,142.9,1,7/18/2023
C,4,1,107.8,1,7/18/2023
C,4,2,67.7,1,7/18/2023
D,1,1,58.9,1,7/18/2023
D,1,4,29.7,1,7/18/2023
C,4,4,124.1,1,7/18/2023
C,4,4,108.2,1,7/18/2023
D,1,4,40.9,1,7/18/2023
D,2,3,63.5,1,7/18/2023
D,3,1,120.1,1,7/18/2023
C,4,5,72.2,1,7/18/2023
D,5,2,138.6,1,7/18/2023
D,4,2,71.6,1,7/18/2023
D,4,3,103,1,7/18/2023
C,6,1,114.7,1,7/18/2023
D,6,2,112.8,1,7/18/2023
D,6,2,93.3,1,7/18/2023
D,7,1,51.1,1,7/18/2023
D,7,2,121.3,1,7/18/2023
D,7,2,98.7,1,7/18/2023
D,7,3,169.1,1,7/18/2023
D,7,4,59.4,1,7/18/2023
D,7,4,62.4,1,7/18/2023
D,6,3,54.7,1,7/18/2023
C,7,2,18.5,1,7/18/2023
C,7,3,15.3,1,7/18/2023
D,8,3,34,1,7/18/2023
D,8,4,32.6,1,7/18/2023
D,8,4,33.7,1,7/18/2023
D,8,5,81.2,1,7/18/2023
D,8,6,52.7,1,7/18/2023
C,8,1,64.7,1,7/18/2023
C,8,2,48.9,1,7/18/2023
C,8,3,24.5,1,7/18/2023
B,1,2,92.3,1,7/20/2023
A,1,2,57.7,1,7/20/2023
A,1,3,108.8,1,7/20/2023
B,2,1,87.9,1,7/20/2023
A,2,2,234.1,1,7/20/2023
B,3,3,69.4,1,7/20/2023
A,3,3,162.3,1,7/20/2023
A,4,1,70.3,1,7/20/2023
A,4,1,72.8,1,7/20/2023
A,4,3,101.1,1,7/20/2023
B,5,2,98.4,1,7/20/2023
A,7,2,52.3,1,7/20/2023
A,7,2,83.1,1,7/20/2023
A,7,2,81.5,1,7/20/2023
B,8,1,101.2,1,7/20/2023
A,8,2,60.4,1,7/20/2023
A,8,3,67.1,1,7/20/2023
D,1,3,84.3,1,7/20/2023
D,1,4,64.3,1,7/20/2023
D,1,4,56.2,1,7/20/2023
D,1,4,52,1,7/20/2023
D,1,5,62.2,1,7/20/2023
C,2,1,43.6,1,7/20/2023
C,3,1,163.2,1,7/20/2023
D,4,3,74.6,1,7/20/2023
D,4,4,79.6,1,7/20/2023
C,4,4,85,1,7/20/2023
C,4,5,109.4,1,7/20/2023
C,4,5,104.1,1,7/20/2023
D,2,1,122.3,1,7/20/2023
D,2,3,82.7,1,7/20/2023
D,2,3,95,1,7/20/2023
D,3,4,81.2,1,7/20/2023
D,3,4,73.1,1,7/20/2023
D,6,2,67.9,1,7/20/2023
D,6,2,67.1,1,7/20/2023
D,6,3,63.5,1,7/20/2023
D,6,4,102.2,1,7/20/2023
B,1,1,123.4,1,7/25/2023
B,1,2,180.1,1,7/25/2023
A,1,1,174.9,0,7/25/2023
A,1,2,215.1,1,7/25/2023
A,6,1,339.1,0,7/25/2023
A,6,1,171.6,0,7/25/2023
A,6,2,233.2,0,7/25/2023
A,2,1,70.8,1,7/25/2023
B,3,3,142.3,1,7/25/2023
B,3,4,90,1,7/25/2023
B,5,1,167.1,0,7/25/2023
B,5,3,77,1,7/25/2023
B,5,3,108.3,1,7/25/2023
B,6,1,280.8,1,7/25/2023
B,7,1,173.4,1,7/25/2023
B,7,3,92.7,1,7/25/2023
A,4,1,76.7,1,7/25/2023
A,5,1,225.7,1,7/25/2023
A,7,1,95.8,1,7/25/2023
A,7,4,159.3,1,7/25/2023
B,8,1,150.7,0,7/25/2023
B,8,3,187.6,1,7/25/2023
B,8,3,212,0,7/25/2023
B,8,4,178.5,1,7/25/2023
B,8,5,98.8,1,7/25/2023
A,8,1,192.9,0,7/25/2023
A,8,2,210,1,7/25/2023
A,8,5,92.5,1,7/25/2023
C,1,1,47.2,1,7/25/2023
C,1,3,46.6,1,7/25/2023
C,1,4,77.5,1,7/25/2023
C,3,1,146.4,0,7/25/2023
C,3,2,145.8,0,7/25/2023
C,3,2,195,1,7/25/2023
D,4,6,81.1,1,7/25/2023
C,4,5,84.8,1,7/25/2023
D,5,4,83.4,1,7/25/2023
D,5,5,115.1,1,7/25/2023
D,5,6,67.1,1,7/25/2023
D,5,8,45.4,1,7/25/2023
D,7,1,200.9,1,7/25/2023
C,6,1,257.1,0,7/25/2023
C,6,1,239.9,0,7/25/2023
C,6,2,201.9,0,7/25/2023
C,7,1,51.8,1,7/25/2023
D,1,3,32.1,1,7/25/2023
D,1,4,50.8,1,7/25/2023
C,7,2,66.8,1,7/25/2023
C,7,2,83.5,1,7/25/2023
C,7,3,56.9,1,7/25/2023
C,7,3,85.4,1,7/25/2023
D,6,5,121.3,1,7/25/2023
D,8,1,26.3,1,7/25/2023
D,8,1,15.7,1,7/25/2023
D,8,1,37.4,1,7/25/2023
D,8,4,44.9,1,7/25/2023
D,8,6,46.5,1,7/25/2023
D,6,4,80.2,1,7/25/2023
D,8,3,31.2,1,7/25/2023
D,8,3,44.7,1,7/25/2023
D,8,3,13.2,1,7/25/2023
D,8,3,23.9,1,7/25/2023
D,3,6,49.1,1,7/25/2023
D,2,1,190.8,1,7/25/2023
D,2,2,170.2,1,7/25/2023
D,3,1,285,1,7/25/2023
D,3,1,229.9,1,7/25/2023
D,3,3,88.6,1,7/25/2023
D,3,3,102.3,1,7/25/2023
D,3,5,58.3,1,7/25/2023
D,4,2,32.7,1,7/25/2023
D,4,3,95.1,1,7/25/2023
D,6,2,132.1,1,7/25/2023
D,6,3,84.3,1,7/25/2023
D,6,4,71.1,1,7/25/2023
D,7,5,83.8,1,7/25/2023
D,8,4,22.2,1,7/25/2023
D,8,5,56.2,1,7/25/2023
D,8,5,55.1,1,7/25/2023
C,8,2,68.9,1,7/25/2023
C,8,3,76.8,1,7/25/2023
C,8,3,48.2,1,7/25/2023
C,8,4,51.8,1,7/25/2023
C,8,5,57.6,1,7/25/2023
B,1,5,58.1,1,7/27/2023
A,5,1,289,0,7/27/2023
B,3,4,106.6,1,7/27/2023
B,5,5,82.2,1,7/27/2023
B,3,1,158.8,1,7/27/2023
B,3,1,204.2,0,7/27/2023
B,4,4,120,1,7/27/2023
B,7,1,169.2,0,7/27/2023
B,7,3,92.7,1,7/27/2023
B,7,2,164.9,0,7/27/2023
B,8,1,181.7,1,7/27/2023
B,8,5,45.8,1,7/27/2023
A,8,1,222.1,1,7/27/2023
C,1,2,34.5,1,7/27/2023
C,1,3,69.5,1,7/27/2023
C,3,2,175.9,0,7/27/2023
