row,plant,cluster,mass,penetrometer,Sugar One,Sugar Two,sugar_avg,date
A,8,1,192.15,0.25,6.4,6.3,6.35,8/5/2023
C,3,2,145.35,1.2,7.4,6.7,7.05,8/5/2023
B,8,1,150.41,1.18,5.9,5.5,5.7,8/5/2023
B,8,3,211.69,2.1,5.3,6.3,5.8,8/5/2023
C,3,1,145.91,0.85,6.2,5.8,6,8/5/2023
A,6,2,233.2,1.04,5.6,5.8,5.7,8/5/2023
B,5,1,166.78,1.2,6.7,6.5,6.6,8/5/2023
A,1,1,173.94,1.2,6.2,6.2,6.2,8/5/2023
A,6,1,339.1,0.9,6.5,6.5,6.5,8/5/2023
A,6,1,170.62,1.3,6.8,6.4,6.6,8/5/2023
C,6,1,257.14,1.48,5.7,5.6,5.65,8/5/2023
C,7,2,201.34,1.8,5.3,5.7,5.5,8/5/2023
C,6,1,239.96,1.6,5.9,6.1,6,8/5/2023
C,6,1,243.78,1.7,5.7,6.1,5.9,8/5/2023
B,2,1,188.55,0.95,6.2,6,6.1,8/5/2023
B,3,1,181.46,1.25,6.1,5.5,5.8,8/5/2023
D,5,2,222.2,0.8,7.3,7.1,7.2,8/5/2023
A,6,2,244.31,1.49,5.9,5.6,5.75,8/5/2023
D,6,1,111.55,1.2,7.6,7.9,7.75,8/5/2023
A,6,2,139.47,1.6,5.9,5.9,5.9,8/5/2023
C,3,1,166.43,1.8,7,7.2,7.1,8/5/2023
C,6,2,266,1.35,5.8,6,5.9,8/5/2023
C,4,1,102.31,1.2,7.7,8.4,8.05,8/5/2023
A,5,1,289,1.5,5.5,5.8,5.65,8/5/2023
D,4,1,129.49,1.48,7.7,8.2,7.95,8/5/2023
B,7,2,162.99,1.05,6.3,6.7,6.5,8/5/2023
A,8,1,222.1,1.1,3.9,5.3,4.6,8/5/2023
B,3,1,201.59,1,5.1,5.2,5.15,8/5/2023
D,5,2,181.26,2.5,5.2,6.8,6,8/5/2023
B,7,1,167.07,1.2,5.4,6.8,6.1,8/5/2023
B,6,1,123.61,1.05,6.8,7.5,7.15,8/5/2023
C,3,2,173.08,0.98,5.3,6,5.65,8/5/2023
B,5,1,126.57,1.05,5.5,6.7,6.1,8/5/2023
A,7,1,159.01,1.28,5.5,5,5.25,8/5/2023
B,1,1,179.8,1.7,6.2,7.5,6.85,8/5/2023
A,2,1,170.62,1.12,4.6,5.7,5.15,8/5/2023
A,2,2,194.94,1.13,6.1,7.1,6.6,8/5/2023
B,8,3,264.6,1.45,5.9,5.8,5.85,8/5/2023
A,1,2,238.4,1.1,5.5,6.4,5.95,8/5/2023
B,2,1,244.2,0.95,5.7,4.6,5.15,8/5/2023
B,6,2,324.1,1.25,5.7,5.8,5.75,8/11/2023
D,5,3,170.77,1.3,6.5,8.5,7.5,8/11/2023
A,5,2,285.6,1.2,6.1,6.2,6.15,8/11/2023
B,7,1,37.92,0.5,7.9,7.8,7.85,8/11/2023
A,5,3,293.1,1.5,6.2,6.1,6.15,8/11/2023
B,7,1,82.93,1,7.8,6.8,7.3,8/11/2023
B,2,3,150.63,1.45,6.1,6.8,6.45,8/11/2023
A,5,4,257.4,1.55,6.4,5.9,6.15,8/11/2023
B,7,2,126.96,1.25,7.9,7.6,7.75,8/11/2023
A,3,3,334.8,1.15,6.1,6.3,6.2,8/11/2023
B,2,3,212.59,1.35,6.5,7.1,6.8,8/11/2023
A,1,1,234.1,1.25,6,6.7,6.35,8/11/2023
D,4,3,157.87,1,9.1,8.7,8.9,8/11/2023
A,7,5,239.1,1.35,6.5,6.6,6.55,8/11/2023
B,7,1,181.86,1,6.4,6.6,6.5,8/11/2023
A,4,4,178.85,1.1,6.1,6.5,6.3,8/11/2023
B,6,3,240.3,1.3,5.8,5.8,5.8,8/11/2023
B,4,2,182.25,1,6.9,6.6,6.75,8/11/2023
B,3,2,136.49,1.2,5.4,5.2,5.3,8/11/2023
B,2,5,236.6,1.45,6.2,6.1,6.15,8/11/2023
A,2,3,169.43,1.1,5.7,5.5,5.6,8/11/2023
A,2,2,168.8,1.8,5.6,5.4,5.5,8/11/2023
B,2,1,103.42,1.3,7.3,7.7,7.5,8/11/2023
B,6,3,197.07,0.95,6.9,6.4,6.65,8/19/2023
C,5,4,78.5,0.8,4.8,3.4,4.1,8/19/2023
B,4,2,94.04,0.8,8.2,8.1,8.15,8/19/2023
A,8,2,191.8,1.5,6.1,5.2,5.65,8/19/2023
B,2,1,149.86,1.25,7.6,6.9,7.25,8/19/2023
B,6,2,202.2,1.92,6.5,6.1,6.3,8/19/2023
B,6,1,155.94,1.8,7.3,6.6,6.95,8/19/2023
A,7,1,96.1,1,9,8.8,8.9,8/19/2023
A,6,4,175.62,0.95,7.6,6.6,7.1,8/19/2023
B,5,1,116.5,1.25,8.1,8.1,8.1,8/19/2023
B,2,2,106.39,1.5,7.4,7.2,7.3,8/19/2023
B,6,1,146.1,1.3,5.3,5.4,5.35,8/19/2023
A,6,3,317.9,1.05,6.2,6.6,6.4,8/19/2023
A,2,5,186.64,0.9,5.8,5.8,5.8,8/19/2023
B,3,2,154.4,1.59,5.3,5.2,5.25,8/19/2023
A,4,3,98.69,1,7.7,7.7,7.7,8/19/2023
A,5,1,211.5,1,5.6,5.9,5.75,8/19/2023
A,4,2,174.93,1.4,6.5,6.5,6.5,8/19/2023
