Obs#,Time,Date,configName,configAuthor,remark,Pot,Row,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,,,,,,,,,,,,,,,,,
2,11:35:45,7/3/2023,Zach TIP2023,Zach Peagler,,1,1,1.545175,2.920634,1.010543,10.188634,1.990424,1.714761,2.952333,0.961909,17.519594,20.336027,30.163788,0.441786,PSF-01133_20230703113545,0,0,0,38.170696,151.78334,0.748519,0.5,0.8,75.885986,77.3,66.59,21.51,23.76,97.88,156.6,152.9,2.3,253,3.271,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
3,11:36:07,7/3/2023,Zach TIP2023,Zach Peagler,,2,1,0.756897,2.922909,0.601211,5.44331,1.974157,1.827134,2.838472,0.864315,18.669088,20.171322,29.002619,0.441786,PSF-01133_20230703113607,0,0,0,38.971783,147.410278,0.735624,0.5,0.8,90.561119,75.09,69.49,21.85,23.11,97.87,156.9,150.8,3.9,308,3.265,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
4,11:36:34,7/3/2023,Zach TIP2023,Zach Peagler,,3,1,1.004508,2.922734,0.747576,7.153995,2.125534,1.932568,3.037477,0.911944,19.744759,21.716263,31.033461,0.441786,PSF-01133_20230703113634,0,0,0,40.140511,160.689713,0.750199,0.5,0.8,60.393738,78.94,71.77,22.24,24.23,97.88,156.8,154.4,1.6,201,3.218,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
5,11:36:51,7/3/2023,Zach TIP2023,Zach Peagler,,4,1,0.916112,2.921945,0.697444,9.35353,2.243631,1.991461,3.517796,1.274165,20.344183,22.920273,35.936764,0.441786,PSF-01133_20230703113651,0,0,0,41.181923,152.590866,0.730115,0.5,0.8,83.381195,82.07,72.84,22.49,26.71,97.89,156.7,152.4,2.7,286,3.26,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
6,11:37:04,7/3/2023,Zach TIP2023,Zach Peagler,,5,1,0.920817,2.92111,0.70012,6.944769,2.221204,2.033803,3.165503,0.944299,20.7763,22.690699,32.337181,0.441786,PSF-01133_20230703113704,0,0,0,41.582466,167.163132,0.751246,0.5,0.8,41.065811,80.33,73.55,22.68,24.93,97.89,156.6,153.7,1.9,137,3.215,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
7,11:37:18,7/3/2023,Zach TIP2023,Zach Peagler,,6,1,0.990631,2.923516,0.739912,8.257795,2.297434,2.07523,3.358251,1.060816,21.202051,23.472248,34.31031,0.441786,PSF-01133_20230703113718,0,0,0,43.284058,148.774628,0.709063,0.5,0.8,116.037453,82.21,74.26,22.85,25.92,97.88,156.9,150.4,4.1,409,3.252,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
8,11:37:29,7/3/2023,Zach TIP2023,Zach Peagler,,7,1,0.865651,2.921913,0.667806,8.058214,2.325116,2.108069,3.471219,1.146103,21.53756,23.755062,35.464474,0.441786,PSF-01133_20230703113729,0,0,0,46.651123,155.225159,0.699462,0.5,0.8,50.919006,82.46,74.77,23,26.48,97.88,156.7,153.4,2.1,182,3.249,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
9,11:37:41,7/3/2023,Zach TIP2023,Zach Peagler,,8,1,1.282668,2.921305,0.891315,9.496325,2.398267,2.142534,3.410245,1.011978,21.887724,24.500237,34.838417,0.441786,PSF-01133_20230703113741,0,0,0,45.439125,166.880249,0.727714,0.5,0.8,69.816048,84.23,75.25,23.16,26.18,97.89,156.7,153.7,1.9,240,3.242,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
10,11:37:57,7/3/2023,Zach TIP2023,Zach Peagler,,1,2,0.607231,2.922548,0.502768,5.60883,2.337044,2.186036,3.397192,1.060149,22.329847,23.872355,34.701527,0.441786,PSF-01133_20230703113757,0,0,0,49.286125,188.882584,0.739065,0.5,0.8,105.051743,81.14,75.9,23.35,26.11,97.9,156.8,152.8,2.6,355,3.239,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
11,11:38:18,7/3/2023,Zach TIP2023,Zach Peagler,,2,2,0.802838,2.920577,0.629731,5.684422,2.396471,2.243312,3.254511,0.85804,22.918821,24.483578,33.249756,0.441786,PSF-01133_20230703113818,0,0,0,56.37896,215.220093,0.73804,0.5,0.8,98.502228,82.04,76.8,23.58,25.39,97.88,156.6,154.6,1.3,334,3.236,11:35:11,7/3/2023,-2.48,,,,,,,,,,,,,,,,,
