row,plant,sample,magnification,surface,FOV,Number of stomata in FOV,stomatal_density
A,1,1,400,Lower,1,10,50
A,1,1,400,Lower,2,11,55
A,1,1,400,Lower,3,12,60
A,1,1,400,Upper,1,0,0
A,1,1,400,Upper,2,0,0
A,1,1,400,Upper,3,0,0
A,1,2,400,Lower,1,12,60
A,1,2,400,Lower,2,19,95
A,1,2,400,Lower,3,15,75
A,1,2,400,Upper,1,2,10
A,1,2,400,Upper,2,0,0
A,1,2,400,Upper,3,1,5
A,1,3,400,Lower,1,2,10
A,1,3,400,Lower,2,0,0
A,1,3,400,Lower,3,1,5
A,1,3,400,Upper,1,0,0
A,1,3,400,Upper,2,0,0
A,1,3,400,Upper,3,0,0
A,3,1,400,Upper,1,2,10
A,3,1,400,Upper,2,0,0
A,3,1,400,Upper,3,2,10
A,3,1,400,Lower,1,6,30
A,3,1,400,Lower,2,4,20
A,3,1,400,Lower,3,4,20
A,3,2,400,Upper,1,0,0
A,3,2,400,Upper,2,0,0
A,3,2,400,Upper,3,0,0
A,3,2,400,Lower,1,5,25
A,3,2,400,Lower,2,5,25
A,3,2,400,Lower,3,6,30
A,3,3,400,Upper,1,0,0
A,3,3,400,Upper,2,0,0
A,3,3,400,Upper,3,0,0
A,3,3,400,Lower,1,6,30
A,3,3,400,Lower,2,4,20
A,3,3,400,Lower,3,4,20
A,2,1,400,Upper,1,0,0
A,2,1,400,Upper,2,0,0
A,2,1,400,Upper,3,0,0
A,2,1,400,Lower,1,3,15
A,2,1,400,Lower,2,4,20
A,2,1,400,Lower,3,4,20
A,2,2,400,Upper,1,0,0
A,2,2,400,Upper,2,0,0
A,2,2,400,Upper,3,0,0
A,2,2,400,Lower,1,4,20
A,2,2,400,Lower,2,4,20
A,2,2,400,Lower,3,5,25
A,2,3,400,Upper,1,0,0
A,2,3,400,Upper,2,0,0
A,2,3,400,Upper,3,0,0
A,2,3,400,Lower,1,5,25
A,2,3,400,Lower,2,3,15
A,2,3,400,Lower,3,4,20
A,4,1,400,Upper,1,0,0
A,4,1,400,Upper,2,0,0
A,4,1,400,Upper,3,0,0
A,4,1,400,Lower,1,8,40
A,4,1,400,Lower,2,7,35
A,4,1,400,Lower,3,4,20
A,4,2,400,Upper,1,1,5
A,4,2,400,Upper,2,4,20
A,4,2,400,Upper,3,0,0
A,4,2,400,Lower,1,5,25
A,4,2,400,Lower,2,2,10
A,4,2,400,Lower,3,3,15
A,4,3,400,Upper,1,0,0
A,4,3,400,Upper,2,0,0
A,4,3,400,Upper,3,0,0
A,4,3,400,Lower,1,4,20
A,4,3,400,Lower,2,3,15
A,4,3,400,Lower,3,4,20
A,5,1,400,Lower,1,7,35
A,5,1,400,Lower,2,7,35
A,5,1,400,Lower,3,6,30
A,5,1,400,Upper,1,3,15
A,5,1,400,Upper,2,0,0
A,5,1,400,Upper,3,0,0
A,5,2,400,Lower,1,8,40
A,5,2,400,Lower,2,7,35
A,5,2,400,Lower,3,9,45
A,5,2,400,Upper,1,0,0
A,5,2,400,Upper,2,0,0
A,5,2,400,Upper,3,0,0
A,5,3,400,Lower,1,3,15
A,5,3,400,Lower,2,1,5
A,5,3,400,Lower,3,2,10
A,5,3,400,Upper,1,1,5
A,5,3,400,Upper,2,0,0
A,5,3,400,Upper,3,0,0
A,6,1,400,Lower,1,2,10
A,6,1,400,Lower,2,0,0
A,6,1,400,Lower,3,1,5
A,6,1,400,Upper,1,2,10
A,6,1,400,Upper,2,0,0
A,6,1,400,Upper,3,0,0
A,6,2,400,Lower,1,5,25
A,6,2,400,Lower,2,0,0
A,6,2,400,Lower,3,3,15
A,6,2,400,Upper,1,2,10
A,6,2,400,Upper,2,2,10
A,6,2,400,Upper,3,0,0
A,6,3,400,Lower,1,6,30
A,6,3,400,Lower,2,5,25
A,6,3,400,Lower,3,5,25
A,6,3,400,Upper,1,0,0
A,6,3,400,Upper,2,0,0
A,6,3,400,Upper,3,0,0
A,7,1,400,Lower,1,1,5
A,7,1,400,Lower,2,2,10
A,7,1,400,Lower,3,2,10
A,7,1,400,Upper,1,0,0
A,7,1,400,Upper,2,0,0
A,7,1,400,Upper,3,1,5
A,7,2,400,Lower,1,0,0
A,7,2,400,Lower,2,6,30
A,7,2,400,Lower,3,2,10
A,7,2,400,Upper,1,0,0
A,7,2,400,Upper,2,0,0
A,7,2,400,Upper,3,0,0
A,7,3,400,Lower,1,9,45
A,7,3,400,Lower,2,0,0
A,7,3,400,Lower,3,4,20
A,7,3,400,Upper,1,0,0
A,7,3,400,Upper,2,0,0
A,7,3,400,Upper,3,0,0
A,8,1,400,Lower,1,5,25
A,8,1,400,Lower,2,2,10
A,8,1,400,Lower,3,0,0
A,8,1,400,Upper,1,0,0
A,8,1,400,Upper,2,1,5
A,8,1,400,Upper,3,0,0
A,8,2,400,Lower,1,0,0
A,8,2,400,Lower,2,4,20
A,8,2,400,Lower,3,7,35
A,8,2,400,Upper,1,1,5
A,8,2,400,Upper,2,0,0
A,8,2,400,Upper,3,0,0
A,8,3,400,Lower,1,7,35
A,8,3,400,Lower,2,0,0
A,8,3,400,Lower,3,7,35
A,8,3,400,Upper,1,0,0
A,8,3,400,Upper,2,2,10
A,8,3,400,Upper,3,0,0
B,1,1,400,Lower,1,6,30
B,1,1,400,Lower,2,8,40
B,1,1,400,Lower,3,5,25
B,1,1,400,Upper,1,0,0
B,1,1,400,Upper,2,0,0
B,1,1,400,Upper,3,1,5
B,1,2,400,Lower,1,7,35
B,1,2,400,Lower,2,8,40
B,1,2,400,Lower,3,2,10
B,1,2,400,Upper,1,1,5
B,1,2,400,Upper,2,0,0
B,1,2,400,Upper,3,0,0
B,1,3,400,Lower,1,2,10
B,1,3,400,Lower,2,2,10
B,1,3,400,Lower,3,0,0
B,1,3,400,Upper,1,1,5
B,1,3,400,Upper,2,0,0
B,1,3,400,Upper,3,0,0
B,3,1,400,Lower,1,7,35
B,3,1,400,Lower,2,5,25
B,3,1,400,Lower,3,3,15
B,3,1,400,Upper,1,0,0
B,3,1,400,Upper,2,0,0
B,3,1,400,Upper,3,0,0
B,3,2,400,Lower,1,0,0
B,3,2,400,Lower,2,2,10
B,3,2,400,Lower,3,0,0
B,3,2,400,Upper,1,0,0
B,3,2,400,Upper,2,0,0
B,3,2,400,Upper,3,0,0
B,3,3,400,Lower,1,3,15
B,3,3,400,Lower,2,2,10
B,3,3,400,Lower,3,5,25
B,3,3,400,Upper,1,0,0
B,3,3,400,Upper,2,0,0
B,3,3,400,Upper,3,0,0
B,4,1,400,Lower,1,3,15
B,4,1,400,Lower,2,6,30
B,4,1,400,Lower,3,2,10
B,4,1,400,Upper,1,1,5
B,4,1,400,Upper,2,2,10
B,4,1,400,Upper,3,0,0
B,4,2,400,Lower,1,0,0
B,4,2,400,Lower,2,0,0
B,4,2,400,Lower,3,0,0
B,4,2,400,Upper,1,0,0
B,4,2,400,Upper,2,0,0
B,4,2,400,Upper,3,0,0
B,4,3,400,Lower,1,5,25
B,4,3,400,Lower,2,5,25
B,4,3,400,Lower,3,6,30
B,4,3,400,Upper,1,1,5
B,4,3,400,Upper,2,0,0
B,4,3,400,Upper,3,0,0
B,5,1,400,Lower,1,5,25
B,5,1,400,Lower,2,4,20
B,5,1,400,Lower,3,4,20
B,5,1,400,Upper,1,0,0
B,5,1,400,Upper,2,0,0
B,5,1,400,Upper,3,0,0
B,5,2,400,Lower,1,3,15
B,5,2,400,Lower,2,4,20
B,5,2,400,Lower,3,1,5
B,5,2,400,Upper,1,0,0
B,5,2,400,Upper,2,0,0
B,5,2,400,Upper,3,2,10
B,5,3,400,Lower,1,1,5
B,5,3,400,Lower,2,2,10
B,5,3,400,Lower,3,5,25
B,5,3,400,Upper,1,0,0
B,5,3,400,Upper,2,0,0
B,5,3,400,Upper,3,0,0
B,6,1,400,Lower,1,4,20
B,6,1,400,Lower,2,0,0
B,6,1,400,Lower,3,0,0
B,6,1,400,Upper,1,0,0
B,6,1,400,Upper,2,0,0
B,6,1,400,Upper,3,6,30
B,6,2,400,Lower,1,3,15
B,6,2,400,Lower,2,3,15
B,6,2,400,Lower,3,0,0
B,6,2,400,Upper,1,0,0
B,6,2,400,Upper,2,5,25
B,6,2,400,Upper,3,6,30
B,6,3,400,Lower,1,4,20
B,6,3,400,Lower,2,4,20
B,6,3,400,Lower,3,3,15
B,6,3,400,Upper,1,0,0
B,6,3,400,Upper,2,0,0
B,6,3,400,Upper,3,0,0
B,7,1,400,Lower,1,0,0
B,7,1,400,Lower,2,0,0
B,7,1,400,Lower,3,2,10
B,7,1,400,Upper,1,0,0
B,7,1,400,Upper,2,0,0
B,7,1,400,Upper,3,0,0
B,7,2,400,Lower,1,4,20
B,7,2,400,Lower,2,0,0
B,7,2,400,Lower,3,0,0
B,7,2,400,Upper,1,0,0
B,7,2,400,Upper,2,0,0
B,7,2,400,Upper,3,0,0
B,7,3,400,Lower,1,5,25
B,7,3,400,Lower,2,1,5
B,7,3,400,Lower,3,3,15
B,7,3,400,Upper,1,1,5
B,7,3,400,Upper,2,0,0
