row,plant,mass,BER,fungus,cracking,penetrometer,sugar 1,sugar 2,sugar_avg,date_harvest,date_analysis
3,6,416.5,0,0,0,1.5,4.4,4.5,4.5,8/1/2024,8/5/2024
4,4,288.4,0,0,0,0.4,5.7,6.2,6,8/1/2024,8/5/2024
4,2,183.7,0,0,0,0.8,6.4,6.3,6.4,8/1/2024,8/5/2024
3,5,241.3,0,0,0,0.2,6.5,6.5,6.5,8/1/2024,8/5/2024
2,5,234.1,0,0,0,0.7,4.1,4.2,4.2,8/1/2024,8/5/2024
3,7,244.6,0,0,0,0.4,4.8,5,4.9,8/1/2024,8/5/2024
4,1,326.9,0,0,0,1.1,5.6,5.7,5.7,8/1/2024,8/5/2024
2,10,186.2,1,1,0,,,,,8/1/2024,8/5/2024
3,8,186.2,0,0,0,1.1,5,5.3,5.2,8/1/2024,8/5/2024
2,2,251.8,0,0,0,0.8,5.1,5,5.1,8/1/2024,8/5/2024
1,7,286,0,0,0,1.1,5.6,5.5,5.6,8/1/2024,8/5/2024
2,8,310.9,0,0,0,0.8,5.3,5.3,5.3,8/1/2024,8/5/2024
2,2,236.4,0,0,0,1,5.2,5.1,5.2,8/1/2024,8/5/2024
2,2,177.3,0,0,0,0.4,6,5.8,5.9,8/1/2024,8/5/2024
2,6,80.5,1,1,0,,,,,8/1/2024,8/5/2024
2,10,80.5,1,1,0,,,,,8/1/2024,8/5/2024
1,2,100.3,1,1,0,,,,,8/1/2024,8/5/2024
1,9,46.2,1,1,0,,,,,8/1/2024,8/5/2024
1,4,103,1,1,0,,,,,8/1/2024,8/5/2024
1,9,106.7,1,1,0,,,,,8/1/2024,8/5/2024
2,5,263.8,0,0,0,1,4.6,4.4,4.5,8/9/2024,8/12/2024
1,5,170.8,0,0,0,1,4.8,4.7,4.8,8/9/2024,8/12/2024
4,3,224.2,0,0,0,0.2,5.2,5.5,5.4,8/9/2024,8/12/2024
3,11,27.7,1,1,0,,,,,8/9/2024,8/12/2024
4,4,161.6,1,1,0,,,,,8/9/2024,8/12/2024
3,11,16.9,1,1,0,,,,,8/9/2024,8/12/2024
